                Time     Total_Variation            L2_Error
          1.43125000          2.00838900          0.08109235
          1.43750000          2.00838853          0.07906066
          1.44375000          2.00838376          0.08117882
          1.45000000          2.00838373          0.07915766
          1.45625000          2.00838014          0.08127853
          1.46250000          2.00837967          0.07928706
          1.46875000          2.00837676          0.08144336
          1.47500000          2.00837588          0.07954646
          1.48125000          2.00837349          0.08181120
          1.48750000          2.00837224          0.08012513
          1.49375000          2.00837028          0.08292686
          1.50000000          2.00836867          0.08156019
          1.50625000          2.00836710          0.08195594
          1.51250000          2.00836515          0.08088424
          1.51875000          2.00836393          0.08129242
          1.52500000          2.00836166          0.08049129
          1.53125000          2.00836074          0.08108159
          1.53750000          2.00835817          0.08041909
          1.54375000          2.00835753          0.08108986
          1.55000000          2.00835466          0.08047257
          1.55625000          2.00835429          0.08116306
          1.56250000          2.00835114          0.08055565
          1.56875000          2.00835101          0.08124729
          1.57500000          2.00834793          0.08064138
          1.58125000          2.00834784          0.08133080
          1.58750000          2.00834524          0.08072542
          1.59375000          2.00834495          0.08141258
          1.60000000          2.00834267          0.08080800
          1.60625000          2.00834218          0.08149318
          1.61250000          2.00834017          0.08088966
          1.61875000          2.00833948          0.08157305
          1.62500000          2.00833772          0.08097071
          1.63125000          2.00833683          0.08165235
          1.63750000          2.00842247          0.08105125
          1.64375000          2.00851099          0.08173117
          1.65000000          2.00856934          0.08113132
          1.65625000          2.00860107          0.08180951
          1.66250000          2.00862380          0.08121092
          1.66875000          2.00865349          0.08188739
          1.67500000          2.00866774          0.08129006
          1.68125000          2.00870210          0.08196480
          1.68750000          2.00871861          0.08136875
          1.69375000          2.00875433          0.08204176
          1.70000000          2.00877975          0.08144699
          1.70625000          2.00881233          0.08211827
          1.71250000          2.00884243          0.08152478
          1.71875000          2.00887245          0.08219433
          1.72500000          2.00890581          0.08160212
          1.73125000          2.00893365          0.08226995
          1.73750000          2.00896949          0.08167902
          1.74375000          2.00899544          0.08234513
          1.75000000          2.00903323          0.08175548
          1.75625000          2.00905871          0.08241988
          1.76250000          2.00909748          0.08183151
          1.76875000          2.00912651          0.08249420
          1.77500000          2.00916391          0.08190711
          1.78125000          2.00919501          0.08256810
          1.78750000          2.00923118          0.08198230
          1.79375000          2.00926388          0.08264159
          1.80000000          2.00929891          0.08205707
          1.80625000          2.00933293          0.08271467
          1.81250000          2.00936692          0.08213143
          1.81875000          2.00940208          0.08278735
          1.82500000          2.00943509          0.08220539
          1.83125000          2.00947126          0.08285964
          1.83750000          2.00950336          0.08227895
          1.84375000          2.00954042          0.08293153
          1.85000000          2.00957165          0.08235211
          1.85625000          2.00960951          0.08300304
          1.86250000          2.00964157          0.08242487
          1.86875000          2.00967931          0.08307417
          1.87500000          2.00971239          0.08249724
          1.88125000          2.00974968          0.08314491
          1.88750000          2.00978346          0.08256921
          1.89375000          2.00982031          0.08321528
          1.90000000          2.00985466          0.08264080
          1.90625000          2.00989109          0.08328528
          1.91250000          2.00992589          0.08271200
          1.91875000          2.00996189          0.08335491
          1.92500000          2.00999706          0.08278282
          1.93125000          2.01003260          0.08342418
          1.93750000          2.01006800          0.08285325
          1.94375000          2.01010298          0.08349308
          1.95000000          2.01013842          0.08292332
          1.95625000          2.01017265          0.08356163
          1.96250000          2.01020784          0.08299300
          1.96875000          2.01024100          0.08362981
          1.97500000          2.01027552          0.08306232
          1.98125000          2.01030719          0.08369765
          1.98750000          2.01034079          0.08313128
          1.99375000          2.01037119          0.08376514
          2.00000000          2.01040323          0.08319988
          2.00625000          2.01043254          0.08383230
          2.01250000          2.01046287          0.08326812
          2.01875000          2.01049138          0.08389911
          2.02500000          2.01052082          0.08333603
          2.03125000          2.01054956          0.08396561
          2.03750000          2.01057938          0.08340359
          2.04375000          2.01060959          0.08403178
          2.05000000          2.01064095          0.08347083
          2.05625000          2.01067349          0.08409764
          2.06250000          2.01070689          0.08353774
          2.06875000          2.01074185          0.08416319
          2.07500000          2.01077706          0.08360434
          2.08125000          2.01081389          0.08422844
          2.08750000          2.01085020          0.08367063
          2.09375000          2.01088812          0.08429339
          2.10000000          2.01092479          0.08373661
          2.10625000          2.01096310          0.08435804
          2.11250000          2.01099958          0.08380228
          2.11875000          2.01103786          0.08442241
          2.12500000          2.01107388          0.08386766
          2.13125000          2.01111197          0.08448648
          2.13750000          2.01114748          0.08393273
          2.14375000          2.01118540          0.08455027
          2.15000000          2.01122049          0.08399752
          2.15625000          2.01125833          0.08461378
          2.16250000          2.01129352          0.08406201
          2.16875000          2.01133121          0.08467701
          2.17500000          2.01136687          0.08412622
          2.18125000          2.01140433          0.08473996
          2.18750000          2.01144041          0.08419016
          2.19375000          2.01147766          0.08480265
          2.20000000          2.01151411          0.08425381
          2.20625000          2.01155111          0.08486507
          2.21250000          2.01158782          0.08431719
          2.21875000          2.01162448          0.08492723
          2.22500000          2.01166132          0.08438031
          2.23125000          2.01169753          0.08498912
          2.23750000          2.01173444          0.08444316
          2.24375000          2.01177024          0.08505077
          2.25000000          2.01180735          0.08450575
          2.25625000          2.01184306          0.08511216
          2.26250000          2.01188081          0.08456809
          2.26875000          2.01191722          0.08517330
          2.27500000          2.01195612          0.08463017
          2.28125000          2.01199373          0.08523420
          2.28750000          2.01203406          0.08469200
          2.29375000          2.01207277          0.08529486
          2.30000000          2.01211392          0.08475358
          2.30625000          2.01215250          0.08535528
          2.31250000          2.01219265          0.08481492
          2.31875000          2.01222872          0.08541546
          2.32500000          2.01226479          0.08487601
          2.33125000          2.01229423          0.08547540
          2.33750000          2.01232035          0.08493687
          2.34375000          2.01233421          0.08553512
          2.35000000          2.01233615          0.08499750
          2.35625000          2.01231151          0.08559462
          2.36250000          2.01225242          0.08505792
          2.36875000          2.01213083          0.08565395
          2.37500000          2.01191883          0.08511822
          2.38125000          2.01155892          0.08571322
          2.38750000          2.01097864          0.08517853
          2.39375000          2.01005909          0.08577265
          2.40000000          2.00863994          0.08523922
          2.40625000          2.00648566          0.08583275
          2.41250000          2.00328244          0.08530095
          2.41875000          1.99860726          0.08589432
          2.42500000          1.99784521          0.08536453
          2.43125000          1.99784290          0.08595954
          2.43750000          1.99784145          0.08543734
          2.44375000          1.99783934          0.08604366
          2.45000000          1.99783772          0.08554446
          2.45625000          1.99783580          0.08618522
          2.46250000          1.99783400          0.08574738
          2.46875000          1.99783226          0.08648497
          2.47500000          1.99783029          0.08618349
          2.48125000          1.99782872          0.08705205
          2.48750000          1.99782658          0.08698038
          2.49375000          1.99782519          0.08850267
          2.50000000          1.99782288          0.08867945
          2.50625000          1.99782165          0.08754922
          2.51250000          1.99781917          0.08800644
          2.51875000          1.99781810          0.08678061
          2.52500000          1.99781546          0.08748649
          2.53125000          1.99781454          0.08641258
          2.53750000          1.99781173          0.08726719
          2.54375000          1.99781097          0.08628918
          2.55000000          1.99780800          0.08721128
          2.55625000          1.99780738          0.08627528
          2.56250000          1.99780424          0.08722297
          2.56875000          1.99780378          0.08630343
          2.57500000          1.99780048          0.08725974
          2.58125000          1.99966253          0.08634691
          2.58750000          2.00327255          0.08730569
          2.59375000          2.00590151          0.08639623
          2.60000000          2.00795716          0.08735533
          2.60625000          2.00958972          0.08644799
          2.61250000          2.01085938          0.08740649
          2.61875000          2.01182737          0.08650075
          2.62500000          2.01254323          0.08745825
          2.63125000          2.01306761          0.08655387
          2.63750000          2.01344299          0.08751017
          2.64375000          2.01371475          0.08660710
          2.65000000          2.01390866          0.08756199
          2.65625000          2.01405261          0.08666029
          2.66250000          2.01415855          0.08761361
          2.66875000          2.01424233          0.08671335
          2.67500000          2.01430789          0.08766499
          2.68125000          2.01436429          0.08676624
          2.68750000          2.01441168          0.08771615
          2.69375000          2.01445563          0.08681896
          2.70000000          2.01449492          0.08776711
          2.70625000          2.01453332          0.08687150
          2.71250000          2.01456934          0.08781792
          2.71875000          2.01460568          0.08692390
          2.72500000          2.01464098          0.08786860
          2.73125000          2.01467709          0.08697615
          2.73750000          2.01471290          0.08791917
          2.74375000          2.01474953          0.08702829
          2.75000000          2.01478621          0.08796966
          2.75625000          2.01482343          0.08708031
          2.76250000          2.01486083          0.08802008
          2.76875000          2.01489836          0.08713224
          2.77500000          2.01493619          0.08807043
          2.78125000          2.01497376          0.08718408
          2.78750000          2.01501176          0.08812074
          2.79375000          2.01504919          0.08723584
          2.80000000          2.01508724          0.08817099
          2.80625000          2.01512446          0.08728753
          2.81250000          2.01516254          0.08822121
          2.81875000          2.01519957          0.08733915
          2.82500000          2.01523771          0.08827138
          2.83125000          2.01527457          0.08739071
          2.83750000          2.01531279          0.08832152
          2.84375000          2.01534952          0.08744221
          2.85000000          2.01538786          0.08837162
          2.85625000          2.01542448          0.08749365
          2.86250000          2.01546294          0.08842167
          2.86875000          2.01549944          0.08754503
          2.87500000          2.01553801          0.08847169
          2.88125000          2.01557441          0.08759636
          2.88750000          2.01561309          0.08852167
          2.89375000          2.01564937          0.08764763
          2.90000000          2.01568815          0.08857161
          2.90625000          2.01572431          0.08769885
          2.91250000          2.01576319          0.08862150
          2.91875000          2.01579929          0.08775001
          2.92500000          2.01583823          0.08867135
          2.93125000          2.01587445          0.08780112
          2.93750000          2.01591336          0.08872115
          2.94375000          2.01594964          0.08785217
          2.95000000          2.01598853          0.08877090
          2.95625000          2.01602485          0.08790316
          2.96250000          2.01606372          0.08882060
          2.96875000          2.01610020          0.08795410
          2.97500000          2.01613898          0.08887026
          2.98125000          2.01617561          0.08800498
          2.98750000          2.01621429          0.08891986
          2.99375000          2.01625105          0.08805580
          3.00000000          2.01628964          0.08896941
          3.00625000          2.01632651          0.08810656
          3.01250000          2.01636501          0.08901890
          3.01875000          2.01640200          0.08815727
          3.02500000          2.01644040          0.08906834
          3.03125000          2.01647750          0.08820791
          3.03750000          2.01651581          0.08911772
          3.04375000          2.01655301          0.08825849
          3.05000000          2.01659123          0.08916704
          3.05625000          2.01662854          0.08830901
          3.06250000          2.01666666          0.08921630
          3.06875000          2.01670407          0.08835947
          3.07500000          2.01674211          0.08926551
          3.08125000          2.01677962          0.08840987
          3.08750000          2.01681757          0.08931465
          3.09375000          2.01685518          0.08846020
          3.10000000          2.01689304          0.08936374
          3.10625000          2.01693074          0.08851047
          3.11250000          2.01696849          0.08941276
          3.11875000          2.01700626          0.08856067
          3.12500000          2.01704389          0.08946172
          3.13125000          2.01708171          0.08861082
          3.13750000          2.01711921          0.08951062
          3.14375000          2.01715711          0.08866089
          3.15000000          2.01719453          0.08955946
          3.15625000          2.01723259          0.08871090
          3.16250000          2.01727006          0.08960823
          3.16875000          2.01730840          0.08876085
          3.17500000          2.01734604          0.08965694
          3.18125000          2.01738474          0.08881074
          3.18750000          2.01742252          0.08970559
          3.19375000          2.01746141          0.08886055
          3.20000000          2.01749898          0.08975418
          3.20625000          2.01753751          0.08891031
          3.21250000          2.01757414          0.08980270
          3.21875000          2.01761142          0.08895999
          3.22500000          2.01764616          0.08985116
          3.23125000          2.01768135          0.08900961
          3.23750000          2.01771370          0.08989956
          3.24375000          2.01774699          0.08905918
          3.25000000          2.01777830          0.08994790
          3.25625000          2.01781263          0.08910868
          3.26250000          2.01784763          0.08999619
          3.26875000          2.01788896          0.08915813
          3.27500000          2.01793350          0.09004442
          3.28125000          2.01798501          0.08920752
          3.28750000          2.01803807          0.09009260
          3.29375000          2.01809413          0.08925685
          3.30000000          2.01814683          0.09014070
          3.30625000          2.01819463          0.08930610
          3.31250000          2.01824218          0.09018873
          3.31875000          2.01828586          0.08935525
          3.32500000          2.01832354          0.09023666
          3.33125000          2.01835466          0.08940431
          3.33750000          2.01837251          0.09028449
          3.34375000          2.01837061          0.08945325
          3.35000000          2.01836641          0.09033218
          3.35625000          2.01835806          0.08950200
          3.36250000          2.01835664          0.09037961
          3.36875000          2.01835033          0.08955039
          3.37500000          2.01834881          0.09042655
          3.38125000          2.01834429          0.08959809
          3.38750000          2.01834217          0.09047254
          3.39375000          2.01833861          0.08964447
          3.40000000          2.01833602          0.09051681
          3.40625000          2.01833312          0.08968861
          3.41250000          2.01833015          0.09055829
          3.41875000          2.01832776          0.08972941
          3.42500000          2.01832446          0.09059617
          3.43125000          2.01832248          0.08976682
          3.43750000          2.01831890          0.09063212
          3.44375000          2.01831725          0.08980600
          3.45000000          2.01831342          0.09067768
          3.45625000          2.01831206          0.08986989
          3.46250000          2.01830800          0.09077077
          3.46875000          2.01830688          0.09001358
          3.47500000          2.01830261          0.09098779
          3.48125000          2.01830171          0.09032669
          3.48750000          2.01829751          0.09141498
          3.49375000          2.01829666          0.09106329
          3.50000000          2.01829304          0.09227038
          3.50625000          2.01829194          0.09056065
          3.51250000          2.01828872          0.09191608
          3.51875000          2.01828738          0.09018617
          3.52500000          2.01828449          0.09168260
          3.53125000          2.01828291          0.09004909
          3.53750000          2.01828032          0.09162798
          3.54375000          2.01827852          0.09004984
          3.55000000          2.01827619          0.09165965
          3.55625000          2.01827418          0.09010123
          3.56250000          2.01827210          0.09171581
          3.56875000          2.01826988          0.09016179
          3.57500000          2.01826803          0.09177265
          3.58125000          2.01826561          0.09021911
          3.58750000          2.01826397          0.09182510
          3.59375000          2.01826136          0.09027207
          3.60000000          2.01825993          0.09187395
          3.60625000          2.01825712          0.09032219
          3.61250000          2.01825588          0.09192077
          3.61875000          2.01825289          0.09037085
          3.62500000          2.01825184          0.09196663
          3.63125000          2.01824867          0.09041886
          3.63750000          2.01824779          0.09201209
          3.64375000          2.01824446          0.09046659
          3.65000000          2.01825417          0.09205738
          3.65625000          2.01841601          0.09051420
          3.66250000          2.01845810          0.09210259
          3.66875000          2.01850512          0.09056172
          3.67500000          2.01851007          0.09214774
          3.68125000          2.01854972          0.09060918
          3.68750000          2.01856467          0.09219283
          3.69375000          2.01859012          0.09065657
          3.70000000          2.01860553          0.09223788
          3.70625000          2.01861816          0.09070391
          3.71250000          2.01863304          0.09228289
          3.71875000          2.01864048          0.09075120
          3.72500000          2.01866187          0.09232787
          3.73125000          2.01867376          0.09079845
          3.73750000          2.01870634          0.09237284
          3.74375000          2.01872901          0.09084569
          3.75000000          2.01876862          0.09241779
          3.75625000          2.01880033          0.09089289
          3.76250000          2.01884081          0.09246273
          3.76875000          2.01887584          0.09094007
          3.77500000          2.01891422          0.09250765
          3.78125000          2.01894985          0.09098722
          3.78750000          2.01898519          0.09255255
          3.79375000          2.01902070          0.09103434
          3.80000000          2.01905330          0.09259742
          3.80625000          2.01908894          0.09108141
          3.81250000          2.01911956          0.09264227
          3.81875000          2.01915578          0.09112846
          3.82500000          2.01918514          0.09268709
          3.83125000          2.01922228          0.09117547
          3.83750000          2.01925381          0.09273189
          3.84375000          2.01929047          0.09122244
          3.85000000          2.01932336          0.09277668
          3.85625000          2.01935963          0.09126939
          3.86250000          2.01939357          0.09282144
          3.86875000          2.01942941          0.09131631
          3.87500000          2.01946416          0.09286619
          3.88125000          2.01949955          0.09136319
          3.88750000          2.01953493          0.09291092
          3.89375000          2.01956983          0.09141005
          3.90000000          2.01960572          0.09295563
          3.90625000          2.01964010          0.09145689
          3.91250000          2.01967635          0.09300032
          3.91875000          2.01971015          0.09150369
          3.92500000          2.01974660          0.09304500
          3.93125000          2.01977971          0.09155047
          3.93750000          2.01981614          0.09308967
          3.94375000          2.01984842          0.09159723
