                Time     Total_Variation            L2_Error            L1_Error
          0.53437500          3.63708003          0.07349014          0.02250169
          0.53750000          3.64477533          0.07869015          0.02315210
          0.54062500          3.64193904          0.07367404          0.02258969
          0.54375000          3.64592027          0.07886782          0.02327988
          0.54687500          3.64905710          0.07385620          0.02267587
          0.55000000          3.64597450          0.07904379          0.02340204
          0.55312500          3.65620418          0.07403665          0.02277930
          0.55625000          3.64744492          0.07921812          0.02351590
          0.55937500          3.66168606          0.07421543          0.02288066
          0.56250000          3.65100358          0.07939082          0.02362240
          0.56562500          3.66497012          0.07439257          0.02297229
          0.56875000          3.65536141          0.07956194          0.02371938
          0.57187500          3.66646547          0.07456811          0.02305479
          0.57500000          3.66029926          0.07973151          0.02380841
          0.57812500          3.66730730          0.07474207          0.02313730
          0.58125000          3.66628717          0.07989955          0.02389048
          0.58437500          3.66617411          0.07491449          0.02323237
          0.58750000          3.67535461          0.08006610          0.02396662
          0.59062500          3.66349327          0.08125327          0.02429724
          0.59375000          3.68491310          0.08023118          0.02408725
          0.59687500          3.65917799          0.08141137          0.02441275
          0.60000000          3.69237774          0.08039483          0.02420783
          0.60312500          3.65766914          0.08156815          0.02453605
          0.60625000          3.69963378          0.08055707          0.02432418
          0.60937500          3.65868901          0.08742859          0.02561815
          0.61250000          3.70544672          0.08071793          0.02443791
          0.61562500          3.66184947          0.08757411          0.02572631
          0.61875000          3.70978644          0.08087743          0.02454357
          0.62187500          3.66668974          0.08771846          0.02582640
          0.62500000          3.71225792          0.08103560          0.02464034
          0.62812500          3.67405382          0.08786168          0.02592992
          0.63125000          3.71278572          0.08119246          0.02472904
          0.63437500          3.68112142          0.08800378          0.02603465
          0.63750000          3.71241701          0.08134804          0.02481282
          0.64062500          3.69322244          0.08814479          0.02615479
          0.64375000          3.71014301          0.08150236          0.02492001
          0.64687500          3.70391583          0.08828471          0.02626964
          0.65000000          3.70941332          0.08165544          0.02501978
          0.65312500          3.71274295          0.08842358          0.02637636
          0.65625000          3.71136971          0.08180730          0.02511161
          0.65937500          3.71969169          0.08856140          0.02647492
          0.66250000          3.71174116          0.08195797          0.02519578
          0.66562500          3.72574798          0.08869820          0.02657015
          0.66875000          3.71215447          0.08210747          0.02528739
          0.67187500          3.73017547          0.08883399          0.02665843
          0.67500000          3.71155536          0.08225580          0.02537700
          0.67812500          3.73300102          0.08896879          0.02673997
          0.68125000          3.70929624          0.08240301          0.02548258
          0.68437500          3.73447599          0.08910262          0.02681349
          0.68750000          3.70580185          0.08254910          0.02561595
          0.69062500          3.73694130          0.08923548          0.02687899
          0.69375000          3.70978283          0.08269409          0.02574393
          0.69687500          3.74208754          0.08936740          0.02693903
          0.70000000          3.71584030          0.08283800          0.02586786
          0.70312500          3.74783489          0.08949839          0.02701582
          0.70625000          3.72043719          0.08298085          0.02598513
          0.70937500          3.75198636          0.08962846          0.02710846
          0.71250000          3.72353988          0.08312266          0.02609479
          0.71562500          3.75461626          0.08975763          0.02719822
          0.71875000          3.72501160          0.08326343          0.02619680
          0.72187500          3.75614065          0.08988592          0.02728090
          0.72500000          3.72819403          0.08340320          0.02629349
          0.72812500          3.75688673          0.09001333          0.02736058
          0.73125000          3.73423690          0.08354197          0.02638342
          0.73437500          3.75638287          0.09013988          0.02745319
          0.73750000          3.74114176          0.08367976          0.02646615
          0.74062500          3.75437806          0.09026559          0.02754150
          0.74375000          3.75000497          0.08381658          0.02654341
          0.74687500          3.75412443          0.09039046          0.02762295
          0.75000000          3.75746897          0.08395246          0.02663119
          0.75312500          3.75466649          0.09051450          0.02769939
          0.75625000          3.76426030          0.08408740          0.02671508
          0.75937500          3.75401659          0.09063774          0.02777024
          0.76250000          3.77008048          0.08422141          0.02679749
