                Time     Total_Variation            L2_Error
          1.73750000          3.80781245          0.11912879
          1.74375000          3.80544198          0.12748931
          1.75000000          3.80490943          0.11930267
          1.75625000          3.80423839          0.12764749
          1.76250000          3.79901510          0.11946492
          1.76875000          3.79564743          0.12779423
          1.77500000          3.80193469          0.11961813
          1.78125000          3.79533840          0.12793801
          1.78750000          3.80699405          0.11977469
          1.79375000          3.79858206          0.12808982
          1.80000000          3.81343666          0.11994235
          1.80625000          3.80303615          0.12825158
          1.81250000          3.81079670          0.12011767
          1.81875000          3.80748156          0.12841661
          1.82500000          3.82894160          0.12029242
          1.83125000          3.80997945          0.12857847
          1.83750000          3.83282149          0.12046249
          1.84375000          3.81242367          0.12873610
          1.85000000          3.83697823          0.12062893
          1.85625000          3.81498374          0.12889129
          1.86250000          3.83827356          0.12079333
          1.86875000          3.81981224          0.12904461
          1.87500000          3.84069652          0.12095539
          1.88125000          3.82435447          0.12919547
          1.88750000          3.83539363          0.12111482
          1.89375000          3.81895200          0.12934441
          1.90000000          3.83056447          0.12127317
          1.90625000          3.82031080          0.12949341
          1.91250000          3.83031252          0.12143251
          1.91875000          3.82607217          0.12964385
          1.92500000          3.83856781          0.12159335
          1.93125000          3.83212479          0.12979528
          1.93750000          3.84552980          0.12175451
          1.94375000          3.83592829          0.12994633
          1.95000000          3.84905869          0.12191464
          1.95625000          3.84104273          0.13009608
          1.96250000          3.85337532          0.12207316
          1.96875000          3.84455354          0.13024428
          1.97500000          3.85676996          0.12223002
          1.98125000          3.85079890          0.13039100
          1.98750000          3.86197842          0.12238538
          1.99375000          3.85366309          0.13053645
          2.00000000          3.86238690          0.12253957
          2.00625000          3.85263590          0.13068109
          2.01250000          3.86253141          0.12269315
          2.01875000          3.85396888          0.13082538
          2.02500000          3.86757561          0.12284648
          2.03125000          3.85605187          0.13096951
          2.03750000          3.87105869          0.12299958
          2.04375000          3.85801302          0.13111331
          2.05000000          3.87186320          0.12315214
          2.05625000          3.86238063          0.13125646
          2.06250000          3.87239432          0.12330384
          2.06875000          3.86978543          0.13139874
          2.07500000          3.87225789          0.12345455
          2.08125000          3.87604276          0.13154008
          2.08750000          3.87091456          0.12360425
          2.09375000          3.88147331          0.13168054
          2.10000000          3.86843895          0.12375307
          2.10625000          3.88528585          0.13182027
          2.11250000          3.86528794          0.12390118
          2.11875000          3.89053088          0.13195942
          2.12500000          3.86311843          0.12404871
          2.13125000          3.89597647          0.13209807
          2.13750000          3.86095764          0.12419568
          2.14375000          3.90011362          0.13223619
          2.15000000          3.86214495          0.12434204
          2.15625000          3.90336995          0.13237370
          2.16250000          3.86451364          0.12448770
          2.16875000          3.90562196          0.13251055
          2.17500000          3.86695013          0.12463261
          2.18125000          3.90696918          0.13264669
          2.18750000          3.87098409          0.12477676
          2.19375000          3.90794561          0.13278215
          2.20000000          3.87507756          0.12492019
          2.20625000          3.90889241          0.13291698
          2.21250000          3.88137626          0.12506297
          2.21875000          3.90932768          0.13305123
          2.22500000          3.88880527          0.12520513
          2.23125000          3.91003665          0.13318492
          2.23750000          3.89541766          0.12534667
          2.24375000          3.91049752          0.13331804
          2.25000000          3.90110983          0.12548759
          2.25625000          3.90996058          0.13345059
          2.26250000          3.90574728          0.12562788
          2.26875000          3.90846153          0.13358255
          2.27500000          3.90995261          0.12576753
          2.28125000          3.90739902          0.13371393
          2.28750000          3.91407341          0.12590655
          2.29375000          3.90675110          0.13384475
          2.30000000          3.91731457          0.12604498
          2.30625000          3.90524048          0.13397505
          2.31250000          3.92015203          0.12618286
          2.31875000          3.90357377          0.13410488
          2.32500000          3.92335379          0.12632026
          2.33125000          3.90266686          0.13423430
          2.33750000          3.92587862          0.12645726
          2.34375000          3.90186501          0.13436341
          2.35000000          3.92721298          0.12659399
          2.35625000          3.90450167          0.13449238
          2.36250000          3.92717934          0.12673068
          2.36875000          3.90797492          0.13462148
          2.37500000          3.92551006          0.12686770
          2.38125000          3.90999109          0.13475116
          2.38750000          3.92190919          0.12700569
          2.39375000          3.90994740          0.13488225
          2.40000000          3.91708206          0.12714577
          2.40625000          3.91179960          0.13501599
          2.41250000          3.91802860          0.12728966
          2.41875000          3.91550789          0.13515481
          2.42500000          3.91862452          0.12744065
          2.43125000          3.91897720          0.13530176
          2.43750000          3.92074651          0.12760307
          2.44375000          3.92170353          0.13546497
          2.45000000          3.92295207          0.12778726
          2.45625000          3.92370223          0.13564693
          2.46250000          3.92486611          0.12799793
          2.46875000          3.92502196          0.13588772
          2.47500000          3.92616490          0.12828231
          2.48125000          3.92560615          0.13610701
          2.48750000          3.92677860          0.12855046
          2.49375000          3.92545303          0.13673890
          2.50000000          3.92673793          0.12929828
          2.50625000          3.92490499          0.13618679
          2.51250000          3.92752934          0.12872515
          2.51875000          3.92416035          0.13566645
          2.52500000          3.93045152          0.12821036
