                Time     Total_Variation            L2_Error
          1.69375000          2.00987217          0.05914310
          1.70000000          2.00989812          0.05836040
          1.70625000          2.00992747          0.05914217
          1.71250000          2.00995104          0.05836063
          1.71875000          2.00998310          0.05914092
          1.72500000          2.01000504          0.05836079
          1.73125000          2.01003917          0.05913948
          1.73750000          2.01005986          0.05836095
          1.74375000          2.01009586          0.05913797
          1.75000000          2.01011549          0.05836115
          1.75625000          2.01015319          0.05913648
          1.76250000          2.01017357          0.05836142
          1.76875000          2.01021198          0.05913508
          1.77500000          2.01023680          0.05836179
          1.78125000          2.01027387          0.05913382
          1.78750000          2.01030170          0.05836224
          1.79375000          2.01033760          0.05913273
          1.80000000          2.01036680          0.05836280
          1.80625000          2.01040194          0.05913182
          1.81250000          2.01043233          0.05836344
          1.81875000          2.01046686          0.05913107
          1.82500000          2.01049831          0.05836414
          1.83125000          2.01053231          0.05913047
          1.83750000          2.01056489          0.05836490
          1.84375000          2.01059834          0.05912999
          1.85000000          2.01063196          0.05836572
          1.85625000          2.01066490          0.05912964
          1.86250000          2.01069944          0.05836662
          1.86875000          2.01073192          0.05912942
          1.87500000          2.01076726          0.05836758
          1.88125000          2.01079933          0.05912933
          1.88750000          2.01083537          0.05836862
          1.89375000          2.01086709          0.05912937
          1.90000000          2.01090376          0.05836974
          1.90625000          2.01093515          0.05912955
          1.91250000          2.01097242          0.05837092
          1.91875000          2.01100350          0.05912985
          1.92500000          2.01104134          0.05837218
          1.93125000          2.01107215          0.05913027
          1.93750000          2.01111040          0.05837349
          1.94375000          2.01114215          0.05913081
          1.95000000          2.01118016          0.05837487
          1.95625000          2.01121264          0.05913146
          1.96250000          2.01125035          0.05837630
          1.96875000          2.01128335          0.05913221
          1.97500000          2.01132056          0.05837779
          1.98125000          2.01135347          0.05913305
          1.98750000          2.01138891          0.05837934
          1.99375000          2.01141857          0.05913400
          2.00000000          2.01144437          0.05838093
          2.00625000          2.01146152          0.05913503
          2.01250000          2.01148471          0.05838259
          2.01875000          2.01150987          0.05913616
          2.02500000          2.01153971          0.05838430
          2.03125000          2.01157034          0.05913738
          2.03750000          2.01160391          0.05838609
          2.04375000          2.01163781          0.05913869
          2.05000000          2.01167329          0.05838794
          2.05625000          2.01170892          0.05914009
          2.06250000          2.01174509          0.05838986
          2.06875000          2.01178152          0.05914158
          2.07500000          2.01181779          0.05839186
          2.08125000          2.01185461          0.05914316
          2.08750000          2.01189077          0.05839392
          2.09375000          2.01192779          0.05914483
          2.10000000          2.01196381          0.05839606
          2.10625000          2.01200098          0.05914658
          2.11250000          2.01203691          0.05839828
          2.11875000          2.01207421          0.05914843
          2.12500000          2.01211007          0.05840056
          2.13125000          2.01214752          0.05915036
          2.13750000          2.01218332          0.05840291
          2.14375000          2.01222090          0.05915238
          2.15000000          2.01225665          0.05840534
          2.15625000          2.01229436          0.05915448
          2.16250000          2.01233007          0.05840784
          2.16875000          2.01236790          0.05915667
          2.17500000          2.01240356          0.05841041
          2.18125000          2.01244150          0.05915894
          2.18750000          2.01247713          0.05841306
          2.19375000          2.01251517          0.05916131
          2.20000000          2.01255076          0.05841578
          2.20625000          2.01258890          0.05916375
          2.21250000          2.01262445          0.05841857
          2.21875000          2.01266270          0.05916628
          2.22500000          2.01269823          0.05842143
          2.23125000          2.01273658          0.05916889
          2.23750000          2.01277209          0.05842436
          2.24375000          2.01281057          0.05917159
          2.25000000          2.01284608          0.05842737
          2.25625000          2.01288468          0.05917436
          2.26250000          2.01292043          0.05843044
          2.26875000          2.01295910          0.05917722
          2.27500000          2.01299524          0.05843359
          2.28125000          2.01303392          0.05918015
          2.28750000          2.01307047          0.05843680
          2.29375000          2.01310923          0.05918316
          2.30000000          2.01314625          0.05844009
          2.30625000          2.01318520          0.05918625
          2.31250000          2.01322277          0.05844344
          2.31875000          2.01326204          0.05918941
          2.32500000          2.01330028          0.05844686
          2.33125000          2.01334005          0.05919265
          2.33750000          2.01337911          0.05845036
          2.34375000          2.01341962          0.05919596
          2.35000000          2.01345925          0.05845391
          2.35625000          2.01350043          0.05919933
          2.36250000          2.01354180          0.05845752
          2.36875000          2.01358495          0.05920277
          2.37500000          2.01362871          0.05846120
          2.38125000          2.01367568          0.05920626
          2.38750000          2.01371904          0.05846492
          2.39375000          2.01376224          0.05920981
          2.40000000          2.01380176          0.05846869
          2.40625000          2.01383493          0.05921340
          2.41250000          2.01385801          0.05847251
          2.41875000          2.01386035          0.05921705
          2.42500000          2.01381357          0.05847640
          2.43125000          2.01364890          0.05922078
          2.43750000          2.01319969          0.05848045
          2.44375000          2.01206315          0.05922489
          2.45000000          2.00926732          0.05848510
          2.45625000          2.00246470          0.05922983
          2.46250000          1.99888644          0.05849330
          2.46875000          1.99888492          0.05925100
          2.47500000          1.99888377          0.05850657
          2.48125000          1.99888223          0.05930947
          2.48750000          1.99888114          0.05940074
          2.49375000          1.99887957          0.06191940
          2.50000000          1.99887855          0.06314564
          2.50625000          1.99887694          0.05946875
          2.51250000          1.99887599          0.06206164
          2.51875000          1.99887438          0.05897790
          2.52500000          1.99887348          0.06193014
          2.53125000          1.99887186          0.05889640
          2.53750000          1.99887102          0.06194535
          2.54375000          2.00472575          0.05889339
          2.55000000          2.00903110          0.06196360
          2.55625000          2.01145612          0.05890120
          2.56250000          2.01287326          0.06197304
          2.56875000          2.01371685          0.05890503
          2.57500000          2.01422686          0.06198418
          2.58125000          2.01453945          0.05891211
          2.58750000          2.01473805          0.06199582
          2.59375000          2.01486527          0.05892189
          2.60000000          2.01495030          0.06200703
          2.60625000          2.01501136          0.05893331
          2.61250000          2.01506084          0.06201750
          2.61875000          2.01510207          0.05894466
          2.62500000          2.01513998          0.06202683
          2.63125000          2.01517470          0.05895599
          2.63750000          2.01520963          0.06203519
          2.64375000          2.01524305          0.05896735
          2.65000000          2.01527779          0.06204284
          2.65625000          2.01531163          0.05897866
          2.66250000          2.01534717          0.06205001
          2.66875000          2.01538187          0.05898984
          2.67500000          2.01541834          0.06205681
          2.68125000          2.01545386          0.05900085
          2.68750000          2.01549109          0.06206334
          2.69375000          2.01552721          0.05901164
          2.70000000          2.01556498          0.06206969
          2.70625000          2.01560153          0.05902220
          2.71250000          2.01563967          0.06207594
          2.71875000          2.01567650          0.05903253
          2.72500000          2.01571489          0.06208215
          2.73125000          2.01575190          0.05904265
          2.73750000          2.01579046          0.06208837
          2.74375000          2.01582758          0.05905258
          2.75000000          2.01586626          0.06209461
          2.75625000          2.01590346          0.05906234
          2.76250000          2.01594222          0.06210090
          2.76875000          2.01597946          0.05907196
          2.77500000          2.01601827          0.06210724
          2.78125000          2.01605554          0.05908144
          2.78750000          2.01609439          0.06211365
          2.79375000          2.01613168          0.05909082
          2.80000000          2.01617056          0.06212011
          2.80625000          2.01620785          0.05910011
          2.81250000          2.01624676          0.06212664
          2.81875000          2.01628406          0.05910932
          2.82500000          2.01632298          0.06213323
          2.83125000          2.01636030          0.05911847
          2.83750000          2.01639923          0.06213989
          2.84375000          2.01643661          0.05912757
