                Time     Total_Variation            L2_Error            L1_Error
          5.20000000          1.99999652          0.13390894          0.05052158
          5.22500000          1.99999648          0.11456579          0.04560149
          5.25000000          1.99999646          0.13390794          0.05052376
          5.27500000          1.99999642          0.11456568          0.04560745
          5.30000000          1.99999641          0.13390717          0.05053809
          5.32500000          1.99999636          0.11456646          0.04564259
          5.35000000          1.99999635          0.13391143          0.05062288
          5.37500000          1.99999631          0.11458255          0.04584781
          5.40000000          1.99999629          0.13398501          0.05111975
          5.42500000          1.99999625          0.11525397          0.04699002
          5.45000000          1.99999624          0.13658211          0.05283521
          5.47500000          1.99999619          0.12087790          0.04892306
          5.50000000          1.99999618          0.14334355          0.05485741
          5.52500000          1.99999614          0.11731708          0.04774754
          5.55000000          1.99999612          0.14215109          0.05376396
          5.57500000          1.99999608          0.11694398          0.04699568
          5.60000000          1.99999607          0.14206618          0.05345905
          5.62500000          1.99999603          0.11702263          0.04687392
          5.65000000          1.99999601          0.14199825          0.05337845
          5.67500000          1.99999597          0.11705550          0.04685007
          5.70000000          1.99999595          0.14194643          0.05334754
          5.72500000          1.99999591          0.11707052          0.04684368
          5.75000000          1.99999590          0.14191088          0.05333110
          5.77500000          1.99999586          0.11707932          0.04684096
          5.80000000          1.99999584          0.14188627          0.05332056
          5.82500000          1.99999580          0.11708525          0.04683931
          5.85000000          1.99999579          0.14186867          0.05331318
          5.87500000          1.99999574          0.11708956          0.04683814
          5.90000000          1.99999573          0.14185567          0.05330776
          5.92500000          1.99999569          0.11709281          0.04683726
          5.95000000          1.99999567          0.14184581          0.05330365
          5.97500000          1.99999564          0.11709532          0.04683658
          6.00000000          1.99999562          0.14183815          0.05330045
          6.02500000          1.99999558          0.11709731          0.04683604
          6.05000000          1.99999556          0.14183209          0.05329792
          6.07500000          1.99999553          0.11709890          0.04683562
          6.10000000          1.99999550          0.14182722          0.05329591
          6.12500000          1.99999547          0.11710019          0.04683531
          6.15000000          1.99999544          0.14182326          0.05329436
          6.17500000          1.99999541          0.11710125          0.04683528
          6.20000000          1.99999538          0.14182001          0.05329364
          6.22500000          1.99999535          0.11710212          0.04683657
          6.25000000          1.99999532          0.14181731          0.05329620
          6.27500000          1.99999529          0.11710288          0.04684529
          6.30000000          1.99999526          0.14181521          0.05331682
          6.32500000          1.99999523          0.11710548          0.04689714
          6.35000000          1.99999520          0.14182269          0.05344166
          6.37500000          1.99999517          0.11714203          0.04720132
          6.40000000          1.99999514          0.14200440          0.05417635
          6.42500000          1.99999511          0.11883404          0.04866941
          6.45000000          1.99999508          0.14557009          0.05609458
          6.47500000          1.99999505          0.12525239          0.05066805
          6.50000000          1.99999502          0.15295582          0.05825330
          6.52500000          1.99999499          0.12300470          0.04956621
          6.55000000          1.99999496          0.15204775          0.05718641
          6.57500000          1.99999494          0.12284618          0.04905910
          6.60000000          1.99999491          0.15210299          0.05700522
          6.62500000          1.99999488          0.12292916          0.04898555
          6.65000000          1.99999485          0.15212159          0.05696866
          6.67500000          1.99999482          0.12297175          0.04897497
          6.70000000          1.99999479          0.15212618          0.05695952
          6.72500000          1.99999476          0.12299231          0.04897373
          6.75000000          1.99999473          0.15212599          0.05695580
          6.77500000          1.99999470          0.12300312          0.04897367
          6.80000000          1.99999467          0.15212424          0.05695350
          6.82500000          1.99999464          0.12300932          0.04897366
          6.85000000          1.99999461          0.15212220          0.05695179
          6.87500000          1.99999459          0.12301307          0.04897354
          6.90000000          1.99999456          0.15212029          0.05695042
          6.92500000          1.99999453          0.12301538          0.04897332
          6.95000000          1.99999450          0.15211854          0.05694929
          6.97500000          1.99999447          0.12301692          0.04897309
          7.00000000          1.99999443          0.15211701          0.05694835
          7.02500000          1.99999441          0.12301800          0.04897286
          7.05000000          1.99999436          0.15211572          0.05694757
          7.07500000          1.99999435          0.12301880          0.04897267
          7.10000000          1.99999430          0.15211463          0.05694695
          7.12500000          1.99999428          0.12301941          0.04897256
          7.15000000          1.99999423          0.15211372          0.05694654
          7.17500000          1.99999422          0.12301989          0.04897271
          7.20000000          1.99999417          0.15211295          0.05694683
          7.22500000          1.99999415          0.12302028          0.04897436
          7.25000000          1.99999410          0.15211231          0.05695074
          7.27500000          1.99999409          0.12302064          0.04898461
          7.30000000          1.99999404          0.15211198          0.05697541
          7.32500000          1.99999402          0.12302349          0.04904481
          7.35000000          1.99999398          0.15212277          0.05712075
          7.37500000          1.99999396          0.12306870          0.04939741
          7.40000000          1.99999391          0.15236861          0.05797273
          7.42500000          1.99999390          0.12490348          0.05087689
          7.45000000          1.99999385          0.15558886          0.05975230
          7.47500000          1.99999383          0.13065445          0.05270918
          7.50000000          1.99999379          0.16207740          0.06173329
          7.52500000          1.99999377          0.12823926          0.05159781
